450;45;11
300;55;12
150;930;0
100;120;1
120;120;1
140;120;1
160;120;1
600;200;1
620;200;1
280;200;1
300;200;1
320;200;1
340;200;1
360;200;1
300;235;12
460;310;1
480;310;1
500;310;1
520;310;1
540;310;1
500;335;11
320;280;1
300;280;1
220;330;1
200;330;1
180;330;1
160;430;1
180;430;1
600;430;1
580;430;1
560;600;1
580;600;1
600;600;1
200;600;1
180;600;1
160;600;1
190;625;11
500;700;1
440;800;1
360;880;1
100;700;1
10;800;1
120;900;1
320;500;1
340;500;1
360;500;1
380;500;1
400;500;1
420;500;1
440;500;1
140;900;1
160;900;1
180;900;1
200;900;1
220;900;1
240;900;1
260;900;1
500;40;5
520;40;5
540;40;5
560;40;5
520;60;5
540;60;5
560;60;5
540;80;5
560;80;5
560;100;5
